ParamID,ParamName,ChineseName,Category,DataType,DefaultValue,MinValue,MaxValue,Unit,Description,RelatedModifiers
MS01,ShakeFrequency_Light,轻击震动频率,Shake,float,25.0,10.0,50.0,Hz,轻击震动的频率,S01
MS02,ShakeFrequency_Heavy,重击震动频率,Shake,float,30.0,15.0,60.0,Hz,重击震动的频率,S02
MS03,ShakeFrequency_Environment,环境震动频率,Shake,float,15.0,5.0,30.0,Hz,环境震动的频率较低,S04
MS04,PositionShakeScale_Light,轻击位置震幅,Shake,float,3.0,1.0,10.0,cm,轻击震动的位置偏移幅度,S01
MS05,PositionShakeScale_Heavy,重击位置震幅,Shake,float,8.0,3.0,20.0,cm,重击震动的位置偏移幅度,S02
MS06,RotationShakeScale_Light,轻击旋转震幅,Shake,float,0.5,0.1,2.0,degree,轻击震动的旋转偏移幅度,S01
MS07,RotationShakeScale_Heavy,重击旋转震幅,Shake,float,1.5,0.5,5.0,degree,重击震动的旋转偏移幅度,S02
MS08,ShakeFOVPunchScale,震动FOV冲击系数,Shake,float,5.0,0.0,15.0,degree,重击时FOV冲击幅度,S02
MS09,EnvironmentShakeMaxDistance,环境震动最大距离,Shake,float,2000.0,500.0,5000.0,cm,环境震动的衰减最大距离,S04
MS10,LandingShakeThreshold,落地震动高度阈值,Shake,float,300.0,100.0,800.0,cm,触发落地震动的最小下落高度,S05
MR01,ParryDistancePull,弹反拉近距离,Reaction,float,15.0,5.0,30.0,cm,弹反时相机先拉近的距离,R01
MR02,ParryDistancePush,弹反推远距离,Reaction,float,10.0,5.0,25.0,cm,弹反后相机推远的距离,R01
MR03,ParryFOVPunch,弹反FOV冲击,Reaction,float,4.0,2.0,10.0,degree,弹反时FOV变化幅度,R01
MR04,ParryShakeIntensity,弹反震动强度,Reaction,float,0.5,0.1,1.0,-,弹反时震动强度系数,R01
MR05,PerfectParryDistancePull,完美弹反拉近距离,Reaction,float,25.0,10.0,50.0,cm,完美弹反时相机先拉近的距离,R02
