ParamID,ParamName,ChineseName,Category,DataType,DefaultValue,MinValue,MaxValue,Unit,Description,RelatedModules
MP01,PositionLagSpeed,位置惯性速度,Position,float,8.0,1.0,20.0,1/s,位置跟随的惯性系数越大跟随越快,P02
MP02,VerticalLagSpeed,垂直惯性速度,Position,float,4.0,1. 0,15.0,1/s,垂直方向的惯性系数通常比水平慢,P02
MP03,PredictionTime,预测时间,Position,float,0.1,0.0,0.3,s,基于速度预测未来位置的时间,P03
MP04,FocusOffset,焦点偏移,Position,FVector,"(0,0,80)",-,-,cm,相对角色的焦点偏移默认看向胸口,P01/P02
MP05,FocusSocketName,焦点骨骼名,Position,FName,spine_02,-,-,-,使用骨骼Socket时的名称,P01
MP06,OrbitMidPointWeight,轨道中点权重,Position,float,0.3,0.0,1.0,-,锁定时焦点在玩家-目标间的位置0=玩家1=目标,P04/P05
MR01,RotationLagSpeed,旋转惯性速度,Rotation,float,12.0,1. 0,25.0,1/s,旋转跟随的惯性系数,R02
MR02,YawLagSpeed,Yaw惯性速度,Rotation,float,10.0,1. 0,20.0,1/s,锁定时水平旋转的惯性,R04/R05
MR03,PitchLagSpeed,Pitch惯性速度,Rotation,float,8.0,1. 0,20.0,1/s,锁定时垂直旋转的惯性,R04/R05
MR04,SoftLockStrength,软锁定强度,Rotation,float,0.3,0.0,1.0,-,锁定时玩家输入的响应比例,R04
MR05,SoftLockReturnSpeed,软锁定回归速度,Rotation,float,5.0,1.0,15.0,1/s,释放输入后回归锁定位置的速度,R04
MR06,AutoCorrectDelay,自动回中延迟,Rotation,float,3.0,1.0,10. 0,s,无输入后开始自动回中的等待时间,R07
MR07,AutoCorrectSpeed,自动回中速度,Rotation,float,2. 0,0.5,5.0,1/s,自动回中的速度,R07
MR08,AutoOrientSpeed,自动朝向速度,Rotation,float,2.0,0. 5,5.0,1/s,冲刺时自动朝向移动方向的速度,R06
MD01,ExploreDistance,探索基础距离,Distance,float,400.0,200.0,800.0,cm,探索状态的基础相机距离,D01
MD02,SprintDistance,冲刺基础距离,Distance,float,450.0,250. 0,900.0,cm,冲刺状态的基础相机距离,D01
MD03,CombatDistance,战斗基础距离,Distance,float,350.0,200.0,600. 0,cm,战斗状态的基础相机距离,D01
MD04,LockOnDistance,锁定基础距离,Distance,float,300.0,150. 0,500.0,cm,锁定状态的基础相机距离,D01
MD05,MountDistance,骑乘基础距离,Distance,float,600.0,400.0,1000.0,cm,骑乘状态的基础相机距离,D01
MD06,BossMediumDistance,中型Boss距离,Distance,float,450.0,300. 0,700.0,cm,中型Boss的基础距离,D01
MD07,BossLargeDistance,大型Boss距离,Distance,float,600.0,400.0,900.0,cm,大型Boss的基础距离,D01
MD08,BossHugeDistance,巨型Boss距离,Distance,float,800. 0,600.0,1200.0,cm,巨型Boss的基础距离,D01
MD09,AimDistance,瞄准距离,Distance,float,200.0,100. 0,400.0,cm,瞄准状态的基础距离,D01
MD10,ExecutionDistance,处决距离,Distance,float,250.0,150. 0,400.0,cm,处决状态的基础距离,D01
MD11,DistanceLagSpeed,距离惯性速度,Distance,float,4.0,1. 0,15.0,1/s,距离变化的平滑速度,D02/D03
MD12,MinFramingDistance,最小构图距离,Distance,float,200.0,100. 0,400.0,cm,与目标的最小距离低于此自动拉远,D06
MD13,SpeedDistanceScale,速度距离系数,Distance,float,0.1,0.0,0.5,cm/(cm/s),每单位速度增加的距离,D03
MD14,CombatDistanceMultiplier,战斗距离系数,Distance,float,0.9,0.5,1.5,-,战斗时的距离乘数,D04
MD15,GlobalMinDistance,全局最小距离,Distance,float,100.0,50. 0,300.0,cm,相机距离的绝对最小值,C02
MD16,GlobalMaxDistance,全局最大距离,Distance,float,1000.0,500.0,2000.0,cm,相机距离的绝对最大值,C02
MF01,ExploreFOV,探索基础FOV,FOV,float,70.0,50.0,90.0,degree,探索状态的基础FOV,F01
MF02,SprintFOV,冲刺基础FOV,FOV,float,75.0,55.0,95.0,degree,冲刺状态的基础FOV,F01
MF03,CombatFOV,战斗基础FOV,FOV,float,68.0,50.0,85.0,degree,战斗状态的基础FOV,F01
MF04,LockOnFOV,锁定基础FOV,FOV,float,65.0,50.0,80.0,degree,锁定状态的基础FOV,F01
MF05,MountFOV,骑乘基础FOV,FOV,float,75.0,55. 0,95.0,degree,骑乘状态的基础FOV,F01
MF06,BossFOV,Boss基础FOV,FOV,float,75.0,55. 0,95.0,degree,Boss战的基础FOV,F01
MF07,AimFOV,瞄准FOV,FOV,float,55.0,40.0,70.0,degree,瞄准状态的FOV,F03
MF08,ExecutionFOV,处决FOV,FOV,float,55.0,40.0,70. 0,degree,处决状态的FOV,F01
MF09,SpeedThreshold,速度FOV阈值,FOV,float,300.0,100.0,600.0,cm/s,开始增加FOV的速度阈值,F02
MF10,FOVPerSpeed,每速度FOV增量,FOV,float,0.02,0.0,0.1,degree/(cm/s),每单位速度增加的FOV,F02
MF11,MaxFOVOffset,最大FOV偏移,FOV,float,15.0,5.0,30. 0,degree,速度驱动的最大FOV增量,F02
MF12,FOVLagSpeed,FOV惯性速度,FOV,float,5.0,1.0,15. 0,1/s,FOV变化的平滑速度,F02
MF13,CombatFOVOffset,战斗FOV偏移,FOV,float,-2.0,-10.0,10.0,degree,战斗时的FOV偏移负值收窄,F04
MF14,BossFOVOffset,Boss FOV偏移,FOV,float,5.0,0.0,15.0,degree,Boss战时的FOV偏移正值增广,F05
MF15,FOVPunchScale,FOV冲击系数,FOV,float,3.0,0.0,10.0,-,冲击时的FOV变化幅度,F06
MF16,GlobalMinFOV,全局最小FOV,FOV,float,50.0,30.0,60.0,degree,FOV的绝对最小值,C03
MF17,GlobalMaxFOV,全局最大FOV,FOV,float,90.0,70.0,120. 0,degree,FOV的绝对最大值,C03
MO01,BaseSocketOffset,基础Socket偏移,Offset,FVector,"(0,40,0)",-,-,cm,默认的屏幕空间偏移,O01
MO02,ShoulderOffset,过肩偏移量,Offset,FVector,"(0,50,0)",-,-,cm,过肩视角的偏移量,O02
MO03,ShoulderSwitchTime,肩膀切换时间,Offset,float,0.2,0.1,0.5,s,左右肩切换的过渡时间,O03
MO04,CrouchOffset,蹲伏偏移,Offset,FVector,"(0,0,-30)",-,-,cm,蹲伏时的焦点下移,O04
MO05,MountFocusOffset,骑乘焦点偏移,Offset,FVector,"(0,0,50)",-,-,cm,骑乘时的焦点偏移,O05
MC01,ExploreMinPitch,探索最小俯仰,Constraint,float,-60.0,-90.0,0.0,degree,探索状态的最小俯仰角,C01
MC02,ExploreMaxPitch,探索最大俯仰,Constraint,float,70.0,0.0,90.0,degree,探索状态的最大俯仰角,C01
MC03,LockOnMinPitch,锁定最小俯仰,Constraint,float,-30.0,-60.0,0. 0,degree,锁定状态的最小俯仰角,C01
