ParamID,ParamName,ChineseName,Category,DataType,DefaultValue,MinValue,MaxValue,Unit,Description,RelatedStrategies
CD01,ProbeRadius,检测球半径,Detection,float,12.0,5.0,30.0,cm,球扫检测的球体半径,D02/D04
CD02,RayCount,射线数量,Detection,int,5,3,9,-,多射线检测的射线数量,D03
CD03,SpreadAngle,射线扩散角度,Detection,float,15.0,5.0,30.0,degree,多射线检测的圆锥扩散角度,D03
CD04,CollisionChannel,碰撞通道,Detection,ECollisionChannel,ECC_Camera,-,-,-,相机碰撞检测使用的通道,D01/D02/D03/D04
CD05,MinDistanceFromSurface,表面最小距离,Response,float,10.0,5.0,30.0,cm,相机与碰撞表面的最小距离,RS01
CD06,MinSafeDistance,最小安全距离,Response,float,50.0,20.0,100.0,cm,触发即时跳转的最小距离阈值,RS05
CD07,SlideEnabled,启用滑动响应,Response,bool,true,-,-,-,是否启用沿表面滑动,RS02
CD08,OrbitSearchAngles,轨道搜索角度,Response,TArray<float>,"[15,30,45,60,90]",-,-,degree,轨道调整时的搜索角度序列,RS03
CD09,FOVCompensateEnabled,启用FOV补偿,Response,bool,true,-,-,-,拉近时是否增加FOV,RS04
CD10,FOVCompensateMax,FOV补偿上限,Response,float,15.0,5.0,30.0,degree,FOV补偿的最大增量,RS04
CF01,OcclusionFadeSpeed,遮挡渐隐速度,Occlusion,float,5.0,1.0,15.0,1/s,遮挡物透明化的速度,OC01
CF02,OcclusionMinAlpha,遮挡最小透明度,Occlusion,float,0.3,0.0,0.5,-,遮挡物透明化的最小不透明度,OC01
CF03,OcclusionFadeEnabled,启用遮挡渐隐,Occlusion,bool,true,-,-,-,是否启用遮挡物透明化,OC01
CF04,OcclusionHideEnabled,启用遮挡隐藏,Occlusion,bool,false,-,-,-,是否启用遮挡物直接隐藏,OC02
CF05,DitherFadeEnabled,启用抖动渐隐,Occlusion,bool,false,-,-,-,是否使用抖动透明替代真透明,OC04
CR01,RecoveryDelay,恢复延迟时间,Recovery,float,0.2,0.0,0.5,s,碰撞解除后开始恢复的等待时间,RC01
CR02,RecoverySpeed,恢复速度,Recovery,float,3.0,1.0,10.0,1/s,平滑恢复的速度系数,RC02
CR03,StepRecoveryEnabled,启用分段恢复,Recovery,bool,false,-,-,-,是否使用分段恢复替代平滑恢复,RC03
CR04,StepRecoverySpeeds,分段恢复速度,Recovery,TArray<float>,"[1.5,3.0,1.5]",-,-,1/s,分段恢复各阶段的速度,RC03
CS01,TightSpaceThreshold,狭小空间阈值,Special,float,150.0,80.0,300.0,cm,判定为狭小空间的距离阈值,SP01
CS02,TightSpaceFOVBonus,狭小空间FOV补偿,Special,float,10.0,0.0,20.0,degree,狭小空间时的FOV增量,SP01
CS03,TightSpaceMinDistance,狭小空间最小距离,Special,float,80.0,50.0,150.0,cm,狭小空间时的最小相机距离,SP01
CS04,LowCeilingThreshold,低天花板阈值,Special,float,250.0,150.0,400.0,cm,判定为低天花板的高度阈值,SP02
CS05,LowCeilingHeightOffset,低天花板高度偏移,Special,float,30.0,10.0,80.0,cm,低天花板时相机下压的距离,SP02
CS06,LowCeilingPitchMaxReduce,低天花板俯仰减少,Special,float,20.0,5.0,40.0,degree,低天花板时最大俯仰角的减少量,SP02
CS07,CliffDetectionEnabled,启用悬崖检测,Special,bool,true,-,-,-,是否启用悬崖边缘检测,SP03
CS08,CliffDetectionDistance,悬崖检测距离,Special,float,500.0,200.0,1000.0,cm,向下检测地面的最大距离,SP03
CS09,CornerFallbackFOV,墙角后备FOV,Special,float,90.0,70.0,110.0,degree,墙角困境时的后备FOV,SP04
CS10,CornerFallbackDistance,墙角后备距离,Special,float,80.0,50.0,150.0,cm,墙角困境时的后备距离,SP04
CS11,CornerFirstPersonFallback,墙角第一人称后备,Special,bool,false,-,-,-,极端墙角情况是否切换第一人称,SP04
