ID,Category,SubCategory,StateName,ChineseName,Description,Priority,Reference
CameraStatesFull_1,FreeExploration,BasicMovement,Explore_Default,默认探索状态,标准第三人称跟随，镜头高度与距离适中,1,All
CameraStatesFull_2,FreeExploration,BasicMovement,Explore_Walk,步行状态,更cinematic的镜头感，轻微平滑阻尼,2,All
CameraStatesFull_3,FreeExploration,BasicMovement,Explore_Jog,慢跑状态,基础移动，镜头略有滞后反馈,2,All
CameraStatesFull_4,FreeExploration,BasicMovement,Explore_Sprint,冲刺状态,拉远+FOV增大+降低视角，强调速度感,1,All
CameraStatesFull_5,FreeExploration,BasicMovement,Explore_Crouch,蹲伏状态,压低相机高度,2,All
CameraStatesFull_6,FreeExploration,BasicMovement,Explore_CrouchSneak,蹲伏潜行,潜行时的低位视角,3,Some
CameraStatesFull_7,FreeExploration,BasicMovement,Explore_Prone,匍匐状态,极低视角,4,Few
CameraStatesFull_8,FreeExploration,BasicMovement,Explore_Backward,后退行走,可能轻微调整构图,2,All
CameraStatesFull_9,FreeExploration,BasicMovement,Explore_BackpedalRecovery,后退恢复模式,从后退快速转为前进时的镜头平滑过渡,2,All
CameraStatesFull_10,FreeExploration,BasicMovement,Explore_Strafe,侧向移动,保持面朝方向,2,All
CameraStatesFull_11,FreeExploration,BasicMovement,Explore_ExplorationWander,探索漫游,自由漫游时的镜头行为,3,Some
CameraStatesFull_12,FreeExploration,BasicMovement,Explore_PathFindFollow,寻路跟随,跟随引导路径时的镜头,3,Some
CameraStatesFull_13,FreeExploration,Idle,Idle_Default,默认空闲,静止时的基础镜头状态,1,All
CameraStatesFull_14,FreeExploration,Idle,Idle_Drift,空闲轻微漂移,空闲时相机轻微自然移动,3,Some
CameraStatesFull_15,FreeExploration,Idle,Idle_Pan,空闲自动环顾,长时间空闲时自动环顾四周,3,Some
CameraStatesFull_16,FreeExploration,Idle,Idle_EnvironmentScan,环境自动扫视,自动扫视周围环境,3,Some
CameraStatesFull_17,FreeExploration,Idle,Idle_LongIdle,长时间空闲,可能触发特殊镜头或动画,2,All
CameraStatesFull_18,FreeExploration,Alignment,Align_ScreenEdge,边缘自动对齐,角色接近屏幕边缘时自动对齐,1,All
CameraStatesFull_19,FreeExploration,Alignment,Align_ReverseMovement,反向移动校正,Input-Driven Recentering,1,All
CameraStatesFull_20,FreeExploration,Alignment,Align_SoftDelay,软性延迟跟随,转向时带阻尼,1,All
CameraStatesFull_21,FreeExploration,Alignment,Align_HardSnap,硬对齐强制对齐,极端情况强制对齐,2,All
CameraStatesFull_22,FreeExploration,Alignment,Align_WalkDirection,行走方向对齐,对齐到行走方向,2,All
CameraStatesFull_23,FreeExploration,Alignment,Align_RunDirection,跑步方向对齐,对齐到跑步方向,2,All
CameraStatesFull_24,FreeExploration,Shoulder,Shoulder_Left,左肩过肩视角,相机偏向左肩,2,Some
CameraStatesFull_25,FreeExploration,Shoulder,Shoulder_Right,右肩过肩视角,相机偏向右肩,2,Some
CameraStatesFull_26,FreeExploration,Shoulder,Shoulder_Switch,肩膀切换过渡,左右肩切换时的过渡,2,Some
CameraStatesFull_27,FreeExploration,Shoulder,Shoulder_Center,中心视角,无偏移的中心视角,2,All
CameraStatesFull_28,FreeExploration,Collision,Collision_Push,碰撞推动,撞墙时相机被推近,1,All
CameraStatesFull_29,FreeExploration,Collision,Collision_WallPanic,墙壁恐慌模式,极端碰撞情况,2,All
CameraStatesFull_30,FreeExploration,Collision,Collision_ObstructionFade,遮挡物渐隐,遮挡物变透明,1,All
CameraStatesFull_31,FreeExploration,Collision,Collision_OcclusionRecovery,遮挡恢复,从被遮挡状态恢复,2,All
CameraStatesFull_32,FreeExploration,Collision,Collision_TightSpace,狭小空间处理,狭小空间的相机处理,1,All
