ParamID,ParamName,ChineseName,Group,SubGroup,DataType,DefaultValue,MinValue,MaxValue,Unit,Description,ApplyTo
A01,StateName,状态名称,StateBase,Identity,FName,-,-,-,-,状态的唯一标识名,All
A02,ChineseName,中文名称,StateBase,Identity,FString,-,-,-,-,状态的中文显示名,All
A03,Priority,状态优先级,StateBase,Identity,int32,100,0,255,-,状态优先级数值越大优先级越高,All
A04,BaseDistance,基础距离,StateBase,Distance,float,400. 0,100.0,1500.0,cm,该状态的基础相机距离,All
A05,MinDistance,最小距离,StateBase,Distance,float,150.0,50.0,500.0,cm,该状态允许的最小距离,All
A06,MaxDistance,最大距离,StateBase,Distance,float,800.0,300.0,2000.0,cm,该状态允许的最大距离,All
A07,BaseFOV,基础FOV,StateBase,FOV,float,70.0,45.0,110.0,degree,该状态的基础视野角度,All
A08,MinFOV,最小FOV,StateBase,FOV,float,50.0,30.0,70.0,degree,该状态允许的最小FOV,All
A09,MaxFOV,最大FOV,StateBase,FOV,float,90.0,70.0,120.0,degree,该状态允许的最大FOV,All
A10,MinPitch,最小俯仰角,StateBase,Rotation,float,-60.0,-89.0,0.0,degree,相机向下看的最大角度,All
A11,MaxPitch,最大俯仰角,StateBase,Rotation,float,70.0,0.0,89.0,degree,相机向上看的最大角度,All
A12,FocusOffsetX,焦点偏移X,StateBase,Offset,float,0.0,-200.0,200.0,cm,焦点相对角色的X偏移,All
A13,FocusOffsetY,焦点偏移Y,StateBase,Offset,float,0.0,-200.0,200.0,cm,焦点相对角色的Y偏移,All
A14,FocusOffsetZ,焦点偏移Z,StateBase,Offset,float,80.0,-50.0,200.0,cm,焦点相对角色的Z偏移默认看向胸口,All
A15,SocketOffsetX,Socket偏移X,StateBase,Offset,float,0.0,-100.0,100.0,cm,屏幕空间X偏移,All
A16,SocketOffsetY,Socket偏移Y,StateBase,Offset,float,40.0,-100.0,100.0,cm,屏幕空间Y偏移默认轻微右偏,All
A17,SocketOffsetZ,Socket偏移Z,StateBase,Offset,float,0.0,-100.0,100.0,cm,屏幕空间Z偏移,All
A18,PositionLagSpeed,位置惯性速度,StateBase,Lag,float,8.0,1.0,25.0,1/s,位置跟随的惯性系数,All
A19,RotationLagSpeed,旋转惯性速度,StateBase,Lag,float,12.0,1.0,30.0,1/s,旋转跟随的惯性系数,All
A20,DistanceLagSpeed,距离惯性速度,StateBase,Lag,float,6.0,1.0,20.0,1/s,距离变化的惯性系数,All
A21,FOVLagSpeed,FOV惯性速度,StateBase,Lag,float,8.0,1.0,20.0,1/s,FOV变化的惯性系数,All
A22,BlendInTime,进入混合时间,StateBase,Transition,float,0.3,0.0,2.0,s,从其他状态进入该状态的混合时间,All
A23,BlendOutTime,退出混合时间,StateBase,Transition,float,0.3,0.0,2.0,s,从该状态退出到其他状态的混合时间,All
A24,BlendType,混合类型,StateBase,Transition,EBlendType,SmoothStep,-,-,-,状态切换的混合曲线类型,All
A25,bEnableCollision,启用碰撞检测,StateBase,Collision,bool,true,-,-,-,该状态是否启用相机碰撞检测,All
A26,bEnableOcclusion,启用遮挡处理,StateBase,Collision,bool,true,-,-,-,该状态是否启用遮挡物透明化,All
A27,bEnableAutoCorrect,启用自动回中,StateBase,AutoCorrect,bool,true,-,-,-,该状态是否启用自动视角回中,Explore
A28,AutoCorrectDelay,自动回中延迟,StateBase,AutoCorrect,float,3.0,1.0,10.0,s,无输入后开始自动回中的等待时间,Explore
A29,AutoCorrectSpeed,自动回中速度,StateBase,AutoCorrect,float,2.0,0.5,8.0,1/s,自动回中的速度,Explore
A30,bLockOnState,是否锁定状态,StateBase,Flag,bool,false,-,-,-,该状态是否为锁定类状态,LockOn/Boss
A31,bCinematicState,是否过场状态,StateBase,Flag,bool,false,-,-,-,该状态是否为过场类状态,Cinematic/Execution
A32,bMountState,是否骑乘状态,StateBase,Flag,bool,false,-,-,-,该状态是否为骑乘类状态,Mount
A33,ParentState,父状态,StateBase,Hierarchy,FName,None,-,-,-,该状态继承参数的父状态,All
A34,OverrideFlags,覆盖标记,StateBase,Hierarchy,int32,0,-,-,-,标记该状态覆盖父状态的哪些参数组,All
